"Automovel","Bicicleta","Caminhao","Moto","Onibus","Outros","Utilitario","Periodo","Km_cat","Gravemente_feridos_Mortos","Chave"
1,0,0,0,0,0,0,"madrugada","(200,225]",0,"NOVADUTRA_BR-116/SP_1401_2011-02-12"
1,0,1,0,0,0,0,"vespertino","(125,150]",0,"NOVADUTRA_BR-116/SP_40201_2011-02-12"
0,0,0,1,0,0,0,"vespertino","(125,150]",0,"NOVADUTRA_BR-116/SP_44101_2011-02-12"
1,0,0,0,0,0,0,"vespertino","(200,225]",0,"NOVADUTRA_BR-116/SP_51101_2011-02-12"
0,0,0,1,0,0,0,"vespertino","(200,225]",0,"NOVADUTRA_BR-116/SP_55901_2011-02-12"
0,0,2,0,0,0,0,"noturno","(25,50]",0,"NOVADUTRA_BR-116/SP_58301_2011-02-12"
1,0,0,0,0,0,0,"noturno","(225,250]",0,"NOVADUTRA_BR-116/SP_59301_2011-02-12"
1,0,1,0,1,0,0,"noturno","(150,175]",0,"NOVADUTRA_BR-116/SP_60801_2011-02-12"
2,0,0,0,0,0,0,"noturno","(200,225]",0,"NOVADUTRA_BR-116/SP_65401_2011-02-12"
0,0,0,0,0,0,0,"noturno","(200,225]",0,"NOVADUTRA_BR-116/SP_66501_2011-02-12"
2,0,0,1,0,0,0,"noturno","(200,225]",1,"NOVADUTRA_BR-116/SP_66601_2011-02-12"
3,0,0,0,0,0,0,"noturno","(125,150]",0,"NOVADUTRA_BR-116/SP_73201_2011-02-12"
0,0,0,1,0,0,0,"madrugada","(125,150]",0,"NOVADUTRA_BR-116/SP_6201_2011-02-12"
2,0,0,0,0,0,0,"madrugada","(125,150]",1,"NOVADUTRA_BR-116/SP_7501_2011-02-12"
1,0,1,0,0,0,1,"madrugada","(50,75]",0,"NOVADUTRA_BR-116/SP_10801_2011-02-12"
2,0,0,0,0,0,0,"manha","(125,150]",0,"NOVADUTRA_BR-116/SP_12501_2011-02-12"
0,0,1,0,1,0,0,"manha","(200,225]",0,"NOVADUTRA_BR-116/SP_15101_2011-02-12"
1,0,0,0,0,0,0,"manha","(150,175]",1,"NOVADUTRA_BR-116/SP_19101_2011-02-12"
1,0,0,0,0,0,0,"manha","(75,100]",0,"NOVADUTRA_BR-116/SP_26001_2011-02-12"
2,0,0,0,0,0,0,"madrugada","(150,175]",0,"NOVADUTRA_BR-116/SP_501_2011-02-13"
